Instrument,Code,Position Type,Quantity,"Unit Price
(Local)
","Value 
(Local)","Exposure 
(Local)",Price Ccy,FX Rate,Instrument Class,"Exposure 
(USD)","Requirement 
(USD)",%Req
DORIC NIMROD AIR TWO LTD,DNA2 LN,Fully Paid,"4,242,783",1.035,"4,391,280","4,391,280",GBP,1.2352,Equity,"6,699,860","6,699,860",100
ENERGYO SOLUTIONS INVEST ORD,EOS SF,Fully Paid,"909,529",0,0,0,SEK,0.0962,Equity,0,0,0
JPEL PRIVATE EQUITY ORD,JPEL LN,Fully Paid,"445,179",1.14,"507,504","507,504",USD,1,Equity,"507,504","507,504",100
KUBERA CROSS-BORDER FUND,KUBC LN,Fully Paid,"4,518,981",0.05,"225,949","225,949",USD,1,Equity,"225,949","225,949",100
LIFE SETTLEMENT ASSETS ORD,LSAA LN,Fully Paid,"3,099,584",1.46,"4,525,393","4,525,393",USD,1,Equity,"4,525,393","4,525,393",100
MYANMAR INVESTMENTS INT ORD,MIL LN,Fully Paid,"3,252,693",0.075,"243,952","243,952",USD,1,Equity,"243,952","243,952",100
RIVERSTONE CREDIT OPPS INC ORD,RCOI LN,Fully Paid,"5,738,583",0.9325,"5,351,229","5,351,229",USD,1,Equity,"5,351,229","5,351,229",100
RIVERSTONE ENERGY ORD,RSE LN,Fully Paid,"838,314",5.94,"4,979,585","4,979,585",GBP,1.2352,Equity,"7,597,448","7,597,448",100
VPC SPECIALTY LENDING INVESTS ORD,VSL LN,Fully Paid,"6,664,284",0.838,"5,584,670","5,584,670",GBP,1.2352,Equity,"8,520,637","8,520,637",100
British Pound Forward Cash,GBP.F,Cash,"-12,500,000",1,"-12,500,000","-12,500,000",GBP,1.2352,FFX,"-19,071,488","667,502",3.5
Euro Forward Cash,EUR.F,Cash,"-17,500,000",1,"-17,500,000","-17,500,000",EUR,1.0851,FFX,"-20,605,235","721,183",3.5
United States Dollar Forward Cash,USD.F,Cash,"31,597,694",1,"31,597,694","31,597,694",USD,1,FFX,"31,597,694","315,977",1
ISHARES NASDAQ BIOTECHNOLOGY,IBB,Cash,"-7,800",134.8,"-1,051,440","-1,051,440",USD,1,Fund,"-1,051,440","157,716",15
Baring Vostok,BARVTCO,Fully Paid,"1,509,000",0,0,0,USD,1,Fund,0,0,0
HSBCDRAGON,820 HK,Fully Paid,"1,236,299",16.06,"19,854,962","19,854,962",HKD,0.1276,Fund,"323,413","323,413",100
E-Mini Russ 2000  Mar23,RTYH3 Index,Cash,-92,"1,899.10","-250,160","-8,735,860",USD,1,Future,"-8,735,860","1,090,795",12.49
EURO STOXX 50     Mar23,VGH3 Index,Cash,-13,"4,157.00","-25,285","-540,410",EUR,1.0851,Future,"-636,301","86,463",13.59
FTSE CHINA A50    Feb23,XUG3 Index,Cash,-175,"14,099.00","17,325","-2,467,325",USD,1,Future,"-2,467,325","360,340",14.6
NASDAQ 100 E-MINI Mar23,NQH3 Index,Cash,-8,"11,992.50","-5,336","-1,918,800",USD,1,Future,"-1,918,800","202,074",10.53
S&P500 EMINI FUT  Mar23,ESH3 Index,Cash,-45,"4,041.00","31,838","-9,092,250",USD,1,Future,"-9,092,250","1,046,492",11.51
Australian Dollars,AUD,Cash,"-1,651,973",1,"-1,651,973","-1,651,973",AUD,0.706,Spot,"-1,166,293",0,0
Canadian Dollars,CAD,Cash,"-1,137,582",1,"-1,137,582","-1,137,582",CAD,0.747,Spot,"-849,766",0,0
British Pounds,GBP,Cash,"4,191,040",1,"4,191,040","4,191,040",GBP,1.2352,Spot,"5,176,773",0,0
United States Dollars,USD,Cash,"2,947,793",1,"2,947,793","2,947,793",USD,1,Spot,"2,947,793",0,0
